#,Title,Artist,Album,Duration
91,Long Tall Sally,Johnny Otis,Lonely River,01:52
92,Theme and Goody Golly,Johnny Otis,Lonely River,02:38
93,Gee,Johnny Otis,Lonely River,01:59
94,Livin' in Misery,Johnny Otis,Lonely River,02:36
95,Please Don't Leave Me,Johnny Otis,Lonely River,02:26
96,Sincerely,Johnny Otis,Lonely River,03:07
97,Stay with Me,Johnny Otis,Lonely River,02:11
98,Only You,Johnny Otis,Lonely River,02:32
99,Honey Love,Johnny Otis,Lonely River,02:21
100,Loop De Loop,Johnny Otis,Lonely River,02:05
101,Earth Angel,Johnny Otis,Lonely River,02:58
102,Can't You Hear Me Callin',Johnny Otis,Lonely River,02:31
103,At My Front Door,Johnny Otis,Lonely River,02:30
104,He' Makin' Eyes at Me,Johnny Otis,Lonely River,02:26
105,The Fat Man,Fats Domino,Greatest Hits: Walking To New Orleans,02:37
106,Goin' Home (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,02:12
107,Going To The River (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,02:34
108,Please Don't Leave Me (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,02:39
109,Something's Wrong (2002 Digital Remaster),Fats Domino,Greatest Hits: Walking To New Orleans,02:42
110,Ain't That A Shame? (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,02:30
111,All By Myself (2002 Digital Remaster),Fats Domino,Greatest Hits: Walking To New Orleans,02:24
112,Poor Me (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,02:20
113,I Can't Go On (Rosalie),Fats Domino,Greatest Hits: Walking To New Orleans,02:11
114,Bo Weevil (2002 Digital Remaster),Fats Domino,Greatest Hits: Walking To New Orleans,02:06
115,Don't Blame It On Me (2002 Digital Remaster),Fats Domino,Greatest Hits: Walking To New Orleans,02:43
116,I'm In Love Again,Fats Domino,Greatest Hits: Walking To New Orleans,01:57
117,My Blue Heaven (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,02:08
118,When My Dreamboat Comes Home (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,02:19
119,So Long,Fats Domino,Greatest Hits: Walking To New Orleans,02:12
120,Blueberry Hill (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,02:23
121,Honey Chile (2002 Digital Remaster),Fats Domino,Greatest Hits: Walking To New Orleans,01:49
122,Blue Monday (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,02:19
123,I'm Walkin' (Remastered),Fats Domino,Greatest Hits: Walking To New Orleans,02:08
124,It's You I Love (2002 Digital Remaster),Fats Domino,Greatest Hits: Walking To New Orleans,02:03
125,Valley Of Tears (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,01:52
126,Wait And See (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,01:58
127,Whole Lotta Loving (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,01:39
128,I'm Ready (Remastered),Fats Domino,Greatest Hits: Walking To New Orleans,02:05
129,I Want To Walk You Home (Remastered),Fats Domino,Greatest Hits: Walking To New Orleans,02:21
130,I'm Gonna Be A Wheel Someday (Remastered),Fats Domino,Greatest Hits: Walking To New Orleans,02:03
131,Be My Guest,Fats Domino,Greatest Hits: Walking To New Orleans,02:17
132,Walking To New Orleans (Remastered),Fats Domino,Greatest Hits: Walking To New Orleans,02:01
133,My Girl Josephine (AKA Hello Josephine),Fats Domino,Greatest Hits: Walking To New Orleans,02:07
134,Let The Four Winds Blow (Remastered 2002),Fats Domino,Greatest Hits: Walking To New Orleans,02:20
135,Mama Don't Want What Papa Don't Want,Varetta Dillard,Presenting Varetta Dillard,02:10
136,Them There Eyes,Varetta Dillard,Presenting Varetta Dillard,02:18
137,Mercy Mr Percy,Varetta Dillard,Presenting Varetta Dillard,02:49
138,That's Why I Cry,Varetta Dillard,Presenting Varetta Dillard,02:36
139,Just Multiply,Varetta Dillard,Presenting Varetta Dillard,02:27
140,Good Gravy Baby,Varetta Dillard,Presenting Varetta Dillard,02:36
141,Scorched,Varetta Dillard,Presenting Varetta Dillard,02:42
142,(That's the Way) My Mind Is Working,Varetta Dillard,Presenting Varetta Dillard,02:16
143,I Can't Help Myself,Varetta Dillard,Presenting Varetta Dillard,02:36
144,Send Me Some Money,Varetta Dillard,Presenting Varetta Dillard,02:26
145,Star of Fortune,Varetta Dillard,Presenting Varetta Dillard,02:08
146,Pennies from Heaven,Varetta Dillard,Presenting Varetta Dillard,02:26
147,Positive Love,Varetta Dillard,Presenting Varetta Dillard,02:17
148,I Miss You Jimmy,Varetta Dillard,Presenting Varetta Dillard,02:30
149,"No Kinda Good, No How",Varetta Dillard,Presenting Varetta Dillard,03:04
150,Whole Lot of Lip,Varetta Dillard,Presenting Varetta Dillard,02:11
151,I'm Gonna Tell My Daddy on You,Varetta Dillard,Presenting Varetta Dillard,02:31
152,Honey,Varetta Dillard,Presenting Varetta Dillard,02:19
153,Leave a Happy Fool Alone,Varetta Dillard,Presenting Varetta Dillard,02:29
154,I Can't Help Myself (Alternate Take),Varetta Dillard,Presenting Varetta Dillard,02:35
155,Got You on My Mind,Varetta Dillard,Presenting Varetta Dillard,02:38
156,I Don't Know What It Is but I Like It,Varetta Dillard,Presenting Varetta Dillard,02:32
157,One More Time,Varetta Dillard,Presenting Varetta Dillard,02:30
158,I Cried and Cried,Varetta Dillard,Presenting Varetta Dillard,03:12
159,Pray for Me Mother,Varetta Dillard,Presenting Varetta Dillard,02:10
160,I Can't Stop Now,Varetta Dillard,Presenting Varetta Dillard,02:11
161,Rules of Love,Varetta Dillard,Presenting Varetta Dillard,02:19
162,See See Rider Blues,Varetta Dillard,Presenting Varetta Dillard,02:28
163,I Got a Lot of Love,Varetta Dillard,Presenting Varetta Dillard,02:39
164,Old Fashioned,Varetta Dillard,Presenting Varetta Dillard,02:29
165,The Square Dance Rock,Varetta Dillard,Presenting Varetta Dillard,02:37
166,"What Can I Say, Dear?",Varetta Dillard,Presenting Varetta Dillard,02:44
167,Time Was,Varetta Dillard,Presenting Varetta Dillard,02:28
168,Hurry Up,Varetta Dillard,Presenting Varetta Dillard,03:02
169,Teaser,Varetta Dillard,Presenting Varetta Dillard,02:02
170,I Ain't Gonna Tell,Varetta Dillard,Presenting Varetta Dillard,02:06
171,What'll I Do,Varetta Dillard,Presenting Varetta Dillard,02:16
172,Hey Sweet Love,Varetta Dillard,Presenting Varetta Dillard,02:56
173,That Old Feeling,Varetta Dillard,Presenting Varetta Dillard,02:36
174,Undecided,Varetta Dillard,Presenting Varetta Dillard,02:27
175,The Rules of Love,Varetta Dillard,Presenting Varetta Dillard,02:25
176,Double Crossing Daddy,Varetta Dillard,Presenting Varetta Dillard,02:53
177,If You Want to Be My Baby,Varetta Dillard,Presenting Varetta Dillard,02:17
178,So Many Ways,Varetta Dillard,Presenting Varetta Dillard,02:46
179,The Night Is Never Long Enough,Varetta Dillard,Presenting Varetta Dillard,02:17
180,Skinny Jimmy,Varetta Dillard,Presenting Varetta Dillard,02:35
181,Good to Me,Varetta Dillard,Presenting Varetta Dillard,02:19
182,A Little Bitty Tear,Varetta Dillard,Presenting Varetta Dillard,02:06
183,Getting Ready for My Daddy,Varetta Dillard,Presenting Varetta Dillard,02:25
184,Mercy Mr Percy (Re-recording),Varetta Dillard,Presenting Varetta Dillard,02:07
185,Cherry Blossom,Varetta Dillard,Presenting Varetta Dillard,02:50
186,Give Me the Right,Varetta Dillard,Presenting Varetta Dillard,02:33
187,"Darling, Listen to the Words of This Song",Varetta Dillard,Presenting Varetta Dillard,02:54
188,Falling,Varetta Dillard,Presenting Varetta Dillard,02:26
189,You Ain't Foolin' Nobody,Varetta Dillard,Presenting Varetta Dillard,02:28
190,Wondering Where You Are,Varetta Dillard,Presenting Varetta Dillard,02:15
191,You Know I'm Too Good for You,Varetta Dillard,Presenting Varetta Dillard,02:28
192,Love That Man,Varetta Dillard,Presenting Varetta Dillard,02:42
193,(Twee Twee Twee) The Lovin' Bird,Varetta Dillard,Presenting Varetta Dillard,02:49
194,You Better Come Home,Varetta Dillard,Presenting Varetta Dillard,02:35
195,You Don't Know What You're Missing,Varetta Dillard,Presenting Varetta Dillard,02:16
196,One More Time (Alternate Take),Varetta Dillard,Presenting Varetta Dillard,02:24
197,That's Why I Cry (Alternate Take),Varetta Dillard,Presenting Varetta Dillard,02:32
198,"Mercy, Mr Percy (Alternate Take)",Varetta Dillard,Presenting Varetta Dillard,02:07
