#,Title,Artist,Album,Duration
634,Tell Mama,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:23
635,Woman,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:49
636,It's A Crying Shame,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:56
637,Market Place,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,02:59
638,Don't You Remember,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:05
639,Hickory Dickory Dock,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:05
640,You Know What I Mean,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:08
641,Don't Go To Strangers,Etta James,The Very Best Of Etta James - 80 Tracks Including Her Greatest Hits And Most Requested Favourites,03:53
642,When I'm Gone,Nico Duportal and His Rhythm Dudes,Guitar Player,03:17
643,Lost in the Game,Nico Duportal and His Rhythm Dudes,Guitar Player,03:11
644,Polish Woman,Nico Duportal and His Rhythm Dudes,Guitar Player,03:14
645,Oh Baby,Nico Duportal and His Rhythm Dudes,Guitar Player,03:05
646,Can't Afford to Loose Her,Nico Duportal and His Rhythm Dudes,Guitar Player,02:27
647,She Knows How,Nico Duportal and His Rhythm Dudes,Guitar Player,02:48
648,Real Good Lovin' Tonight,Nico Duportal and His Rhythm Dudes,Guitar Player,03:07
649,Big Mary's,Nico Duportal and His Rhythm Dudes,Guitar Player,02:35
650,Guitar Player,Nico Duportal and His Rhythm Dudes,Guitar Player,02:30
651,Oh Oh,Nico Duportal and His Rhythm Dudes,Guitar Player,02:46
652,Josh & Slim,Nico Duportal and His Rhythm Dudes,Guitar Player,03:31
653,Much Later,Nico Duportal and His Rhythm Dudes,Guitar Player,02:57
654,Polish Woman (1),Nico Duportal and His Rhythm Dudes,Guitar Player,03:12
655,North Side Gal,JD McPherson,Signs & Signifiers,02:31
656,Country Boy,JD McPherson,Signs & Signifiers,02:44
657,Fire Bug,JD McPherson,Signs & Signifiers,02:17
658,Signs & Signifiers,JD McPherson,Signs & Signifiers,04:45
659,Wolf Teeth,JD McPherson,Signs & Signifiers,02:56
660,Scratching Circles,JD McPherson,Signs & Signifiers,02:10
661,A Gentle Awakening,JD McPherson,Signs & Signifiers,03:26
662,Dimes For Nickles,JD McPherson,Signs & Signifiers,02:43
663,B.G.M.O.S.R.N.R.,JD McPherson,Signs & Signifiers,02:58
664,I Can't Complain,JD McPherson,Signs & Signifiers,02:36
665,Your Love (All That I'm Missing),JD McPherson,Signs & Signifiers,03:00
666,Scandalous,JD McPherson,Signs & Signifiers,02:28
667,What Is Hip? feat. Carolyn Leonhart & Terry Callier,The Juju Orchestra,Bossa Nova Is Not A Crime,04:54
668,What Is Hip feat. Terry Callier & Carolyn Leonhard (Mo'Horizons Latinstyle),The Juju Orchestra,Remixes,05:28
669,At Last,Etta James,At Last The Very Best Of,03:02
670,I Just Want To Make Love To You,Etta James,At Last The Very Best Of,03:08
671,W.O.M.A.N.,Etta James,At Last The Very Best Of,03:16
672,Anything to Say You're Mine,Etta James,At Last The Very Best Of,02:37
673,Sunday Kind Of Love,Etta James,At Last The Very Best Of,03:18
674,All I Could Do Was Cry,Etta James,At Last The Very Best Of,03:08
675,Stormy Weather,Etta James,At Last The Very Best Of,03:10
676,Something's Got A Hold On Me,Etta James,At Last The Very Best Of,02:40
677,Wallflower (Roll with me Henry),Etta James,At Last The Very Best Of,02:45
678,Tough Lover,Etta James,At Last The Very Best Of,02:11
679,Good Rockin' Daddy,Etta James,At Last The Very Best Of,02:22
680,The Pick Up,Etta James,At Last The Very Best Of,02:17
681,Every Night,Etta James,At Last The Very Best Of,02:27
682,My Dearest Darling,Etta James,At Last The Very Best Of,03:01
683,Trust In Me,Etta James,At Last The Very Best Of,03:01
684,Tough Mary,Etta James,At Last The Very Best Of,02:28
685,Don't Cry Baby,Etta James,At Last The Very Best Of,02:28
686,Fool That I Am,Etta James,At Last The Very Best Of,02:58
687,One For My Baby (And One More For The Road),Etta James,At Last The Very Best Of,03:29
688,In My Diary,Etta James,At Last The Very Best Of,02:40
689,Seven Day Fool,Etta James,At Last The Very Best Of,02:55
690,Dream,Etta James,At Last The Very Best Of,02:23
691,I'll Dry My Tears,Etta James,At Last The Very Best Of,02:42
692,Don't Get Around Much Anymore,Etta James,At Last The Very Best Of,02:25
693,Spoonful,Etta James,At Last The Very Best Of,02:50
694,My Heart Cries,Etta James,At Last The Very Best Of,02:37
695,It's A Crying Shame,Etta James,At Last The Very Best Of,02:56
696,If I Can't Have You,Etta James,At Last The Very Best Of,02:46
697,"Köln, January 24, 1975, Pt. I (Live)",Keith Jarrett,The Köln Concert,26:01
698,"Köln, January 24, 1975, Pt. II A (Live)",Keith Jarrett,The Köln Concert,14:54
699,"Köln, January 24, 1975, Pt. II B (Live)",Keith Jarrett,The Köln Concert,18:14
700,"Köln, January 24, 1975, Pt. II C (Live)",Keith Jarrett,The Köln Concert,06:56
701,That's a Pretty Good Love (feat. Nick Govrik),Alexis Saski,Shakin',02:51
702,Leave My Kitten Alone,Alexis Saski,Shakin',02:52
703,True Fine Mama,Alexis Saski,Shakin',03:36
704,As Long as I'm Moving,Alexis Saski,Shakin',02:48
705,Shakin' (feat. Roy Agee),Alexis Saski,Shakin',02:59
706,Nitty Gritty (feat. Glen Caruba),Alexis Saski,Shakin',03:29
707,Trouble (Remastered),Elvis Presley,The Essential Elvis Presley,02:16
708,Spoonful (Single Version),Etta James,At Last!,02:50
709,(I Know) You Don't Love Me,Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:10
710,Down And Out (aka How Long Will It Last),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,03:06
711,Matchbox (Aka I'm Gonna Forget About You) (Unissued-Version 1 Take 4),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:23
712,You Keep On Worrying Me (Unissued-Take 2),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:23
713,You've Got To Lose (Unissued),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:21
714,Walking Down The Aisle,Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:12
715,Box Top,Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,01:55
716,I'll Weep No More - Betty Everett,Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:50
717,Tell Me Darling - Betty Everett,Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:03
718,Matchbox (Aka I'm Gonna Forget About You) (Unissued-Version 2 Take 5),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:24
719,(I Know) You Don't Love Me (Unissued-Take 1),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:10
720,You Keep On Worrying Me (Unissued-Take 4),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:29
721,You've Got To Lose (Unissued-Take ?),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:19
722,Walking Down The Aisle (Unissued-Take 4),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:11
723,I'll Weep No More - Betty Everett (Unissued),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:46
724,Tell Me Darling - Betty Everett (Unissued),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:06
725,I'm Gonna Forget About You (Aka Matchbox) (Unissued-Version 2 Take?),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:21
726,Matchbox (Aka I'm Gonna Forget About You) (Unissued-Version 3 Take 6),Ike Turner And The Kings Of Rhythm,King Cobra: The Chicago Sessions,02:24
727,Down In Mexico,The Coasters,The Coasters,03:13
728,I Hear You Knocking,Smiley Lewis,I Hear You Knocking,02:45
729,My Baby Was Right,Smiley Lewis,I Hear You Knocking,02:43
730,Bumpity Bump,Smiley Lewis,I Hear You Knocking,02:31
731,Real Gone Lover,Smiley Lewis,I Hear You Knocking,02:33
732,Lost Weekend,Smiley Lewis,I Hear You Knocking,02:23
733,It's Music,Smiley Lewis,I Hear You Knocking,02:23
734,Come In,Smiley Lewis,I Hear You Knocking,02:25
735,Oh Red,Smiley Lewis,I Hear You Knocking,02:08
736,Hook Line & Sinker,Smiley Lewis,I Hear You Knocking,02:28
737,One Night,Smiley Lewis,I Hear You Knocking,02:28
738,Shame Shame Shame,Smiley Lewis,I Hear You Knocking,01:59
739,Please Listen to Me,Smiley Lewis,I Hear You Knocking,02:22
740,Down Yonder We Go Ballin',Smiley Lewis,I Hear You Knocking,02:58
741,Go on Fool,Smiley Lewis,I Hear You Knocking,02:09
742,Bad Luck Blues,Smiley Lewis,I Hear You Knocking,02:17
743,Stormy Monday Blues,Smiley Lewis,I Hear You Knocking,02:34
744,It's so Peaceful,Smiley Lewis,I Hear You Knocking,02:28
745,Ain't Gonna Do It,Smiley Lewis,I Hear You Knocking,02:32
746,You're Not the One,Smiley Lewis,I Hear You Knocking,02:32
747,Big Mamou,Smiley Lewis,I Hear You Knocking,02:28
748,Caldonia's Party,Smiley Lewis,I Hear You Knocking,02:15
749,Oh Baby,Smiley Lewis,I Hear You Knocking,02:24
750,Slide Me Down,Smiley Lewis,I Hear You Knocking,02:55
751,Dirty People,Smiley Lewis,I Hear You Knocking,02:24
752,Baby Don’t Do It,Various artists,"Golden Doo Wop, Vol. 1",02:47
753,Jungle Hop,Don & Dewey,Jungle Hop (Remastered),02:10
754,A Little Love,Don & Dewey,Jungle Hop (Remastered),02:16
755,Hey Thelma,Don & Dewey,Jungle Hop (Remastered),02:58
756,Baby Gotta Party,Don & Dewey,Jungle Hop (Remastered),02:20
757,Miss Sue,Don & Dewey,Jungle Hop (Remastered),02:19
758,Good Morning (Take 4),Don & Dewey,Jungle Hop (Remastered),02:36
759,Leavin' It All Up To You,Don & Dewey,Jungle Hop (Remastered),02:12
760,Jelly Bean,Don & Dewey,Jungle Hop (Remastered),01:46
761,Sweet Talk (Take 13),Don & Dewey,Jungle Hop (Remastered),01:49
762,Farmer John (Take 1 - Slow Version),Don & Dewey,Jungle Hop (Remastered),02:12
763,Just A Little Lovin',Don & Dewey,Jungle Hop (Remastered),02:15
764,The Letter,Don & Dewey,Jungle Hop (Remastered),02:21
765,When The Sun Has Begun To Shine,Don & Dewey,Jungle Hop (Remastered),02:07
766,Bim Bam,Don & Dewey,Jungle Hop (Remastered),02:03
767,Day By Day (Take 3),Don & Dewey,Jungle Hop (Remastered),02:48
768,Koko Joe,Don & Dewey,Jungle Hop (Remastered),02:12
769,Justine,Don & Dewey,Jungle Hop (Remastered),02:44
770,Little Sally Walker,Don & Dewey,Jungle Hop (Remastered),02:31
771,Kill Me,Don & Dewey,Jungle Hop (Remastered),03:03
772,Big Boy Pete,Don & Dewey,Jungle Hop (Remastered),02:19
773,Farmer John,Don & Dewey,Jungle Hop (Remastered),02:29
774,Pink Champagne,Don & Dewey,Jungle Hop (Remastered),02:44
775,Jump Awhile,Don & Dewey,Jungle Hop (Remastered),02:21
776,Mammer-Jammer,Don & Dewey,Jungle Hop (Remastered),02:38
777,Get Your Hat,Don & Dewey,Jungle Hop (Remastered),02:33
778,Don't Mess With My Man,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:24
779,Set Me Free,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:33
780,Go To The Mardi Gras,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:56
781,Every Day Every Night,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:22
782,A Good Man,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:20
783,I May Be Wrong,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:27
784,Walkin',Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:39
785,Across The Track,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:24
786,Love Letter,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:39
787,Ding Bats,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:15
788,The Blue Eagle (Part I),Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:44
789,The Blue Eagle (Part II),Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:49
790,Skin Tight Bathing Suit,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:11
791,My Buddy's Got My Baby,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:41
792,Life Is Just A Struggle,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:45
793,Rocket To The Moon,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:22
794,Nobody Knows,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",01:57
795,I'm Through Crying,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:43
796,Send Me Your Picture,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:43
797,You're Doing Me Wrong,Various artists,"The Complete Ric & Ron Recordings, Vol. 6: Classic New Orleans R&B And More, 1958-1965",02:40
798,Lucky Lips,Ruth Brown,Ruth Brown Her Greatest Hits,02:08
799,Daddy Daddy,Ruth Brown,Ruth Brown Her Greatest Hits,02:56
800,I Gotta Have You,Ruth Brown,Ruth Brown Her Greatest Hits,02:17
801,Teardrops From My Eyes,Ruth Brown,Ruth Brown Her Greatest Hits,03:00
802,This Little Girl's Gone Rockin',Ruth Brown,Ruth Brown Her Greatest Hits,01:48
803,5- 10- 15 Hours,Ruth Brown,Ruth Brown Her Greatest Hits,03:12
804,Mama He Treats Your Daughter Mean,Ruth Brown,Ruth Brown Her Greatest Hits,02:58
805,Wild Wild Young Men,Ruth Brown,Ruth Brown Her Greatest Hits,02:31
806,Mend Your Ways,Ruth Brown,Ruth Brown Her Greatest Hits,02:49
807,Oh What A Dream,Ruth Brown,Ruth Brown Her Greatest Hits,02:54
808,Mambo Baby,Ruth Brown,Ruth Brown Her Greatest Hits,02:43
809,I Can See Everybody's Baby,Ruth Brown,Ruth Brown Her Greatest Hits,03:00
810,As Long As I'm Moving,Ruth Brown,Ruth Brown Her Greatest Hits,02:43
811,It's Love Baby 24 Hours Of The Day,Ruth Brown,Ruth Brown Her Greatest Hits,02:42
812,Love Has Joined Us Together,Ruth Brown,Ruth Brown Her Greatest Hits,02:57
813,I Want To Do More,Ruth Brown,Ruth Brown Her Greatest Hits,02:52
814,Sweet Baby Of Mine,Ruth Brown,Ruth Brown Her Greatest Hits,02:33
815,I Know,Ruth Brown,Ruth Brown Her Greatest Hits,02:49
816,Shine On Bright Moon Shine On,Ruth Brown,Ruth Brown Her Greatest Hits,02:55
817,I Don't Know,Ruth Brown,Ruth Brown Her Greatest Hits,02:53
818,So Long,Ruth Brown,Ruth Brown Her Greatest Hits,02:40
819,I'll Get Along Somehow,Ruth Brown,Ruth Brown Her Greatest Hits,02:39
820,Bye Bye Young Men,Ruth Brown,Ruth Brown Her Greatest Hits,02:43
821,I'll Wait For You,Ruth Brown,Ruth Brown Her Greatest Hits,02:37
822,One More Time,Ruth Brown,Ruth Brown Her Greatest Hits,02:38
823,"Please, Please, Please",James Brown,"Please, Please, Please",02:46
824,Chonnie-On-Chon,James Brown,"Please, Please, Please",02:13
825,Hold My Baby's Hand,James Brown,"Please, Please, Please",02:14
826,I Feel That Old Feeling Coming On,James Brown,"Please, Please, Please",02:35
827,Just Won't Do Right,James Brown,"Please, Please, Please",02:36
828,Baby Cries Over The Ocean,James Brown,"Please, Please, Please",02:37
829,I Don't Know,James Brown,"Please, Please, Please",02:48
830,Tell Me What I Did Wrong,James Brown,"Please, Please, Please",02:24
831,Try Me,James Brown,"Please, Please, Please",02:33
832,That Dood It,James Brown,"Please, Please, Please",02:28
833,Begging Begging,James Brown,"Please, Please, Please",02:54
834,I Walked Alone,James Brown,"Please, Please, Please",02:44
835,No No No No,James Brown,"Please, Please, Please",02:15
836,That's When I Lost My Heart,James Brown,"Please, Please, Please",02:51
837,Let's Make It,James Brown,"Please, Please, Please",02:28
838,Love Or A Game,James Brown,"Please, Please, Please",02:15
839,Voodoo Voodoo,LaVern Baker,Voodoo Voodoo,01:47
840,Then I'll Believe,Various artists,"The Complete Ric & Ron Recordings, Vol. 7: Classic New Orleans R&B And More, 1958-1965",02:17
841,Shoestring Twist,Various artists,"The Complete Ric & Ron Recordings, Vol. 4: Classic New Orleans R&B And More, 1958-1965",02:07
842,All About My Girl,Jimmy McGriff,Greatest Hits,03:56
843,I've Got a Woman (Parts 1 & 2),Jimmy McGriff,Greatest Hits,04:33
844,Discotheque U.S.A.,Jimmy McGriff,Greatest Hits,03:24
845,Kiko,Jimmy McGriff,Greatest Hits,02:44
846,See See Rider,Jimmy McGriff,Greatest Hits,04:23
847,Cash Box,Jimmy McGriff,Greatest Hits,03:41
848,Gospel Time,Jimmy McGriff,Greatest Hits,05:37
849,Where It's At (Live),Jimmy McGriff,Greatest Hits,04:45
850,The Last Minute,Jimmy McGriff,Greatest Hits,04:17
851,Blue Juice,Jimmy McGriff,Greatest Hits,05:00
852,Step One,Jimmy McGriff,Greatest Hits,03:36
853,Chris Cross,Jimmy McGriff,Greatest Hits,03:45
854,South Wes,Jimmy McGriff,Greatest Hits,03:35
855,Black Pearl (Live At The Golden Slipper),Jimmy McGriff,Greatest Hits,03:35
856,The Worm,Jimmy McGriff,Greatest Hits,03:20
857,Ain't It Funky Now,Jimmy McGriff,Greatest Hits,03:38
858,Fat Cakes,Jimmy McGriff,Greatest Hits,03:19
859,My Pretty Baby (Web 1106),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),01:58
860,"All Day, All Night (Goldband 1110)",Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:19
861,I've Got News for You (Vee Jay 179),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:55
862,Cruised (Mercury 71857),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:03
863,Let's Do It (The Chicken Scratch) [Mercury 71516],Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:42
864,Hurry Back Good News (Peacock),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:44
865,Nit Wit (Bea & Baby 102),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),01:59
866,Arabian Blues (Zil 9004),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:42
867,The Contest (Rca 7923),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:23
868,Got Plenty Troubles (Zil 9005),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:20
869,Letter Came This Morning (Arrow 724),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:04
870,Right from Wrong (Peacock 1671),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:36
871,Yours Truly (Imperial 45),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:09
872,The Stomp (Mercury 72286),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:31
873,You're so Good Looking (Jin 112),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:35
874,Fuji Womma (Ruthie 101),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),01:50
875,Let's Rock (Let's Surf Awhile) [King],Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:08
876,Blind Boy (Drexel 910),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:39
877,Hackensack (Alton 400),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:09
878,Hey Juanita (Blues Boy Kingdom 106),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),02:33
879,Big Time Spender Pt. 1&2 (Maske 102),Various artists,R&B Humdingers Volume 13 (compiled by Mark Lamarr),05:38
880,Shrewsbury Blues,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,03:00
881,Early Dawn Boogie,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:16
882,Boogie Woogie Mama,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:40
883,Lonely Man Blues,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:35
884,Tra La La (A),Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:30
885,Anything But Love,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:41
886,Once in a Lifetime,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:38
887,Come Home Baby,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:30
888,Tra La La (B),Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:32
889,Lawdy Lawdy Lawd Part 1,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:29
890,Lawdy Lawdy Lawd Part 2,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:40
891,Got You On My Mind,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,01:46
892,Booted,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,01:46
893,Lavinia,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:44
894,I Live My Life,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:27
895,Looped,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:21
896,Junie Mae,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:23
897,Monkey Man,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:17
898,Nobody Cares,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:15
899,Good Times,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:20
900,A Day Is Coming,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:07
901,Ooh Lawdy My Baby,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:49
902,I'm Gonna Cross That River,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:59
903,Wish I Had Never,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:50
904,Jam Up Twist,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:47
905,When I Meet My Girl,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:08
906,What'cha Gonna Do,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:05
907,Woncha Gone,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:06
908,Baby Do Little,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:14
909,Baby Do Little (Alternate Take),Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:11
910,Alone But Not Lonely,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:06
911,Just a Memory,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:01
912,Come Back Baby,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:04
913,Mairzy Doats and Dozy Doats,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:19
914,I've Heard That Story Before,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:41
915,I'll Be True,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:03
916,The Girl Across the Street,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:20
917,Tina,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,01:53
918,How I Feel,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:03
919,Memory Melody (Instrumental),Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:02
920,Real Gone Jam (Instrumental),Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:17
921,Ding Dong School,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:27
922,I've Got My Eyes On You,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:29
923,Lonely Tune (Instrumental),Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:07
924,Is It True,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:12
925,Let's Try and Talk It Over,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:36
926,Do You Remember,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:17
927,Please Hurry Home,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:46
928,Should I Ever Love Again,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:24
929,Double Eyed Whammy,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:27
930,Three Times,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:20
931,The Only Girl for Me,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:25
932,In the Same Old Way,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:52
933,The Girl from Kookamonga,Tommy Ridgley,The Tommy Ridgley Collection 1949-61,02:51
934,Soul On Fire,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),03:05
935,Tomorrow Night,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),03:15
936,Tweedle Dee,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),03:06
937,That's All I Need,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:35
938,Bop-Ting-A-Ling,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),03:05
939,Play It Fair,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:56
940,Jim Dandy,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:10
941,My Happiness Forever,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:47
942,"Get Up, Get Up [You Sleepy Head]",LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:21
943,Still,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:24
944,I Can't Love You Enough,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:39
945,Jim Dandy Got Married,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:11
946,I Cried A Tear,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:35
947,Whipper Snapper,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:12
948,I Waited Too Long,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:32
949,Shake A Hand,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:48
950,How Often,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:38
951,You Said,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:17
952,Saved,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:54
953,See See Rider,LaVern Baker,Soul On Fire: Thes Best Of LaVerne Baker (US Release),02:29
954,Watermelon Time,Marcia Ball,"Peace, Love & BBQ",04:04
955,Big Boy,Bill Doggett,Masters Of The Last Century: Best of Bill Doggett,03:10
